No.,Pokemon,Biome,Excluded,Excluded Blocks,Time,Weather,Context,Preset,Requirements,Bucket,Weight,Lv. Min,Lv. Max,canseeSky
156,Quilava,crimson_forest,,,any,any,grounded,natural,,ultra-rare,0.9,17,40,ANY
156,Quilava,temperate,spooky,,any,clear,grounded,natural,,ultra-rare,0.9,17,40,true
157,Typhlosion,crimson_forest,,,any,any,grounded,natural,,ultra-rare,0.1,36,53,ANY
157,Typhlosion,temperate,spooky,,any,clear,grounded,natural,,ultra-rare,0.1,36,53,true
158,Totodile,swamp,,,any,any,grounded,natural,,ultra-rare,9.0,5,31,true
158,Totodile,swamp,,,any,any,submerged,underwater,,ultra-rare,9.0,5,31,true
159,Croconaw,swamp,,,any,any,grounded,natural,,ultra-rare,0.9,18,40,true
159,Croconaw,swamp,,,any,any,submerged,underwater,,ultra-rare,0.9,18,40,true
160,Feraligatr,swamp,,,any,any,grounded,natural,,ultra-rare,0.1,30,53,true
160,Feraligatr,swamp,,,any,any,submerged,underwater,,ultra-rare,0.1,30,53,true
161,Sentret,"taiga, temperate, tundra",,,any,any,grounded,natural,,common,9.0,4,21,true
162,Furret,"taiga, temperate, tundra",,,any,any,grounded,natural,,common,1.0,15,41,true
163,Hoothoot,"forest, sky, spooky",,,night,clear,grounded,natural,,common,9.0,6,26,true
164,Noctowl,"forest, sky, spooky",,,night,clear,grounded,,,common,1.0,20,45,true
165,Ledyba,temperate,freezing,,day,clear,grounded,,,common,10.0,5,26,true
166,Ledian,temperate,freezing,,night,clear,grounded,,,common,2.0,18,39,true
167,Spinarak,"forest, jungle, spooky",freezing,,night,clear,grounded,,,common,5.4,5,25,true
167,Spinarak,overworld,abyss,,any,any,grounded,,,common,5.4,5,25,false
168,Ariados,"forest, jungle, spooky",freezing,,night,clear,grounded,,,common,0.6,22,40,true
168,Ariados,overworld,abyss,,any,any,grounded,,,common,0.6,22,40,false
170,Chinchou,deep,,,any,any,submerged,underwater,,common,5.4,12,33,true
171,Lanturn,deep,,,any,any,submerged,underwater,,common,0.6,27,46,true
175,Togepi,"floral, magical, sky","plains, spooky",,day,clear,grounded,,,rare,9.0,4,24,true
176,Togetic,"floral, magical, sky","plains, spooky",,day,clear,grounded,,,rare,0.9,25,40,true
179,Mareep,"highlands, plains",,,day,any,grounded,,,common,9.0,4,28,true
180,Flaaffy,"highlands, plains",,,day,any,grounded,,,common,0.9,15,36,true
181,Ampharos,"highlands, plains",,,day,any,grounded,,,common,0.1,30,51,true
183,Marill,overworld,,,any,any,grounded,"natural, freshwater",neededNearbyBlocks = water,common,8.0,1,20,true
184,Azumarill,overworld,,,any,any,grounded,"natural, freshwater",neededNearbyBlocks = water,uncommon,8.0,1,20,true
185,Sudowoodo,forest,spooky,,any,clear,grounded,,,rare,1.0,16,41,true
187,Hoppip,plains,,,day,clear,grounded,,,common,9.0,4,25,true
188,Skiploom,plains,,,day,clear,grounded,,,common,0.9,18,34,true
189,Jumpluff,plains,,,day,clear,grounded,,,common,0.1,27,46,true
190,Aipom,jungle,,,any,any,grounded,,,common,5.4,15,36,true
191,Sunkern,sunflower_plains,,,day,any,grounded,,,common,9.9,1,18,true
192,Sunflora,sunflower_plains,,,day,any,grounded,,,common,0.1,19,42,true
202,Wobbuffet,overworld,abyss,,any,any,grounded,natural,,rare,1.0,15,40,false
203,Girafarig,savanna,,,day,any,grounded,natural,,common,9.0,19,45,true
206,Dunsparce,overworld,abyss,,any,any,grounded,natural,,uncommon,1.8,12,41,false
207,Gligar,badlands,,,night,any,grounded,natural,,uncommon,5.4,13,43,true
209,Snubbull,"taiga, temperate",,,any,any,grounded,"natural, urban",,uncommon,5.4,7,30,true
210,Granbull,"taiga, temperate",,,any,any,grounded,"natural, urban",,uncommon,0.6,23,45,true
211,Qwilfish,"lukewarm, reef",,,any,any,submerged,underwater,,uncommon,10.0,20,44,true
213,Shuckle,lush,,,any,any,grounded,,,uncommon,2.0,15,50,false
214,Heracross,forest,spooky,,night,any,grounded,,,rare,2.0,20,50,true
214,Heracross,jungle,,,night,any,grounded,,,uncommon,2.0,20,50,true
216,Teddiursa,"forest, cave",,,any,any,grounded,natural,,common,5,5,30,true
217,Ursaring,"forest, cave",,,any,any,grounded,natural,,uncommon,5,30,60,true
222,Corsola,reef,,,any,any,seafloor,underwater,,uncommon,10.0,15,41,true
223,Remoraid,lukewarm,,,any,any,submerged,underwater,,common,9.0,4,30,true
224,Octillery,lukewarm,,,any,any,seafloor,underwater,,common,1.0,25,48,true
225,Delibird,peak,,,day,any,grounded,,,rare,10.0,5,33,true
226,Mantine,lukewarm,,,any,any,submerged,underwater,,uncommon,1.0,35,48,true
227,Skarmory,"sandy, sky",,,day,any,grounded,,,rare,10.0,20,46,true
228,Houndour,nether,,,any,any,grounded,,,uncommon,9.0,8,33,ANY
229,Houndoom,nether,,,any,any,grounded,,,uncommon,1.0,24,50,ANY
231,Phanpy,savanna,,,any,any,grounded,,,common,5.4,10,33,true
232,Donphan,savanna,,,any,any,grounded,,,common,0.6,25,50,true
235,Smeargle,overworld,,,any,any,grounded,urban,,rare,10.0,11,25,true
246,Larvitar,mountain,freezing,,any,any,grounded,,,ultra-rare,9.0,15,30,true
246,Larvitar,mountain,,,any,any,grounded,,,ultra-rare,9.0,15,30,false
247,Pupitar,mountain,freezing,,any,any,grounded,,,ultra-rare,0.9,30,54,true
247,Pupitar,mountain,,,any,any,grounded,,,ultra-rare,0.9,30,54,false
248,Tyranitar,mountain,freezing,,any,any,grounded,,,ultra-rare,0.1,55,60,true
248,Tyranitar,mountain,,,any,any,grounded,,,ultra-rare,0.1,55,60,false
252,Treecko,"jungle, forest",,"fire, soul_fire, lava, jack_o_lantern, campfire, soul_campfire, torch, wall_torch, soul_torch, wall_soul_torch, redstone_torch, redstone_wall_torch",day,clear,grounded,,"maxX = 0, neededNearbyBlocks = flowering_azalea, neededBaseBlocks = moss_block",common,500.0,5,15,true
253,Grovyle,"jungle, forest",,"fire, soul_fire, lava, jack_o_lantern, campfire, soul_campfire, torch, wall_torch, soul_torch, wall_soul_torch, redstone_torch, redstone_wall_torch",day,clear,grounded,,"maxX = 0, neededNearbyBlocks = flowering_azalea, neededBaseBlocks = moss_block",uncommon,250.0,20,25,true
254,Sceptile,"jungle, forest",,"fire, soul_fire, lava, jack_o_lantern, campfire, soul_campfire, torch, wall_torch, soul_torch, wall_soul_torch, redstone_torch, redstone_wall_torch",day,clear,grounded,,"maxX = 0, neededNearbyBlocks = flowering_azalea, neededBaseBlocks = moss_block",uncommon,250.0,35,45,true
255,Torchic,grassland,,water,day,clear,grounded,,"minX = 0, neededNearbyBlocks = hay_block, neededBaseBlocks = tuff",common,500.0,5,15,true
256,Combusken,grassland,,water,day,clear,grounded,,"minX = 0, neededNearbyBlocks = hay_block, neededBaseBlocks = tuff",uncommon,250.0,20,25,true
257,Blaziken,grassland,,water,day,clear,grounded,,"minX = 0, neededNearbyBlocks = hay_block, neededBaseBlocks = tuff",uncommon,250.0,35,45,true
258,Mudkip,swamp,"snowy, taiga","grass, grass_block",day,any,grounded,,"minZ = 0, neededNearbyBlocks = water, neededBaseBlocks = mud",common,500.0,5,15,true
259,Marshtomp,swamp,"snowy, taiga","grass, grass_block",day,any,grounded,,"minZ = 0, neededNearbyBlocks = water, neededBaseBlocks = mud",uncommon,250.0,20,25,true
260,Swampert,swamp,"snowy, taiga","grass, grass_block",day,any,grounded,,"minZ = 0, neededNearbyBlocks = water, neededBaseBlocks = mud",uncommon,250.0,20,25,true
261,Poochyena,"forest, plains, snowy",,,any,any,grounded,natural,,uncommon,3.0,2,30,true
261,Poochyena,"forest, plains, snowy",,,any,any,grounded,natural,neededNearbyBlocks = stone,common,9.0,2,30,false
262,Mightyena,"forest, plains, snowy",,,any,any,grounded,natural,,uncommon,2.0,18,45,true
262,Mightyena,"forest, plains, snowy",,,any,any,grounded,natural,neededNearbyBlocks = stone,common,5.0,18,50,false
263,Zigzagoon,"grassland, forest",spooky,,night,any,grounded,natural,,common,5.0,4,25,true
263,Zigzagoon,overworld,,,any,any,grounded,natural,"neededNearbyBlocks = crafting_table, chest, furnace",common,1.0,4,25,false
263,Zigzagoon,overworld,,,any,any,grounded,"foliage, urban, river",,common,2.0,4,25,true
263,Zigzagoon Galarian,"grassland, forest",,,any,any,grounded,natural,,common,4.0,4,25,true
263,Zigzagoon Galarian,overworld,,,any,any,grounded,"urban, natural, river",,uncommon,5.0,4,25,true
264,Linoone,"grassland, forest",spooky,,night,any,grounded,natural,,common,1.0,20,35,true
264,Linoone,overworld,,,any,any,grounded,"natural, river",neededNearbyBlocks = tall_grass,common,1.0,20,40,true
264,Linoone Galarian,"grassland, forest",,,any,any,grounded,natural,,common,1.0,20,40,true
265,Wurmple,forest,spooky,,any,any,grounded,"natural, treetop",,common,5.0,2,19,true
265,Wurmple,plains,,,any,any,grounded,"natural, foliage, treetop",,common,5.0,2,19,true
266,Silcoon,forest,spooky,,any,any,grounded,"natural, treetop",,common,2.0,7,20,true
266,Silcoon,plains,,,any,any,grounded,"natural, foliage, treetop",,common,2.0,7,20,true
267,Beautifly,temperate,spooky,,day,clear,grounded,natural,,common,1.0,10,39,true
267,Beautifly,"jungle, plains",,,day,clear,grounded,natural,,common,1.0,10,39,true
268,Cascoon,forest,,,any,any,grounded,"natural, treetop",,common,2.0,7,20,true
268,Cascoon,plains,,,any,any,grounded,"natural, foliage, treetop",,common,2.0,7,20,true
269,Dustox,"temperate, plains, spooky",,,night,clear,grounded,natural,,common,2.0,10,39,true
269,Dustox,"jungle, temperate, spooky",,,night,clear,grounded,,minLight = 7,common,50.0,10,30,true
276,Taillow,"forest, temperate, plains",,,any,any,grounded,natural,,common,3.0,8,35,true
277,Swellow,"desert, temperate, plains",,,any,any,grounded,natural,,common,1.0,22,35,true
278,Wingull,coast,frozen,,any,any,grounded,natural,,common,10.0,4,32,true
279,Pelipper,coast,spooky,,any,any,grounded,natural,,common,5.0,25,40,true
279,Pelipper,"coast, plains",spooky,,any,rain,grounded,natural,,common,10.0,25,40,true
283,Surskit,"forest, plains, river",,,any,any,grounded,"natural, Freshwater",neededNearbyBlocks = water,common,9.0,2,30,true
284,Masquerain,"forest, plains, river",,,any,clear,grounded,"natural, freshwater",neededNearbyBlocks = water,common,7.0,22,45,true
285,Shroomish,"forest, mushroom",,,any,any,grounded,natural,,common,3,5,30,true
286,Breloom,"forest, mushroom",,,any,any,grounded,natural,,uncommon,3,23,45,true
287,Slakoth,"forest, jungle",,,any,any,grounded,natural,,uncommon,5.0,5,20,ANY
288,Vigoroth,"forest, jungle, plains",,,any,any,grounded,natural,,uncommon,7.0,18,40,ANY
289,Slaking,"forest, jungle, plains",,,any,any,grounded,natural,,uncommon,1.0,36,60,ANY
290,Nincada,"temperate, plains, jungle",,,any,any,grounded,natural,,uncommon,5.0,5,20,ANY
291,Ninjask,"temperate, plains, jungle",,,any,clear,grounded,natural,,uncommon,2.0,20,40,true
292,Shedinja,"temperate, plains, jungle, spooky",,,any,clear,grounded,natural,,uncommon,3.0,20,40,true
292,Shedinja,spooky,,,any,clear,grounded,natural,,common,2.0,20,40,true
296,Makuhita,"forest, hills, plains, cave",,,any,any,grounded,natural,,common,1.0,5,30,true
297,Hariyama,"forest, hills, plains, cave",,,any,any,grounded,natural,,uncommon,2.0,24,50,true
298,Azurill,overworld,,,any,any,grounded,"natural, freshwater",neededNearbyBlocks = water,common,5.0,1,20,true
300,Skitty,"plains, forest, desert",,,any,any,grounded,,"neededNearbyBlocks = grass, tallgrass, oak_log",uncommon,5,1,10,true
300,Skitty,"forest, plains, desert",,,any,any,grounded,,"neededNearbyBlocks = oak_door, spruce_door, acacia_door, chest",uncommon,5,1,15,false
301,Delcatty,"plains, forest, desert",,,night,any,grounded,,"neededNearbyBlocks = grass, tallgrass, oak_log",uncommon,5,10,30,true
301,Delcatty,"forest, plains, desert",,,any,any,grounded,,"neededNearbyBlocks = oak_door, spruce_door, acacia_door, chest",uncommon,7,10,30,false
304,Aron,cave,,,any,any,grounded,natural,,uncommon,7.0,5,25,ANY
304,Aron,"mountain, hills",,,any,any,grounded,natural,"neededNearbyBlocks = iron_ore, deepslate_iron_ore",common,10.0,5,25,ANY
304,Aron,overworld,,,any,any,grounded,natural,"neededNearbyBlocks = rail, iron_trapdoor, create:track",uncommon,20.0,5,25,true
305,Lairon,cave,,,any,any,grounded,natural,,uncommon,2.0,32,50,ANY
305,Lairon,"mountain, hills",,,any,any,grounded,natural,"neededNearbyBlocks = iron_ore, deepslate_iron_ore, water",uncommon,20.0,32,50,ANY
305,Lairon,overworld,,,any,any,grounded,natural,"neededNearbyBlocks = iron_ore, deepslate_iron_ore, iron_block",uncommon,10.0,32,50,true
306,Aggron,cave,,,any,any,grounded,natural,,rare,2.0,42,60,ANY
306,Aggron,"mountain, hills",,,any,any,grounded,natural,"neededNearbyBlocks = iron_ore, deepslate_iron_ore, water",rare,2.0,42,60,ANY
306,Aggron,mountain,,,any,any,grounded,natural,"maxY = -50, neededNearbyBlocks = diamond_ore, bedrock",ultra-rare,100.0,70,75,false
307,Meditite,"forest, hills, snowy",,,any,any,grounded,natural,,uncommon,5,5,40,true
307,Meditite,overworld,,,any,any,grounded,,neededNearbyBlocks = :sweet_berry_bush,common,9.0,10,40,true
308,Medicham,mountain,,,any,any,grounded,,,common,1,37,41,true
309,Electrike,plains,,,any,any,grounded,,,common,3,8,29,true
310,Manectric,plains,,,any,any,grounded,,,common,1,26,47,true
313,Volbeat,overworld,,,night,any,grounded,"natural, freshwater",neededNearbyBlocks = water,common,5.0,1,20,true
314,Illumise,overworld,,,night,any,grounded,"natural, freshwater",neededNearbyBlocks = water,common,20.0,1,20,true
315,Roselia,floral,,,any,any,grounded,,,common,0.9,29,40,true
316,Gulpin,swamp,,,any,any,grounded,,,common,2,10,30,true
317,Swalot,swamp,,,any,any,grounded,,,common,1,26,47,true
322,Numel,"badlands, desert",,,day,any,grounded,,,common,4,12,30,true
322,Numel,nether_wastes,,,any,any,grounded,,,common,2,12,30,ANY
323,Camerupt,"badlands, desert",,,day,any,grounded,,,common,0.01,33,46,true
323,Camerupt,nether_wastes,,,any,any,grounded,,,common,0.01,33,46,ANY
325,Spoink,hills,,,any,any,grounded,,,common,1,10,33,true
326,Grumpig,hills,,,any,any,grounded,,,uncommon,1,32,47,true
328,Trapinch,desert,,,any,any,grounded,,,uncommon,5,16,34,true
328,Trapinch,desert,,,any,any,grounded,,,rare,20,16,34,false
329,Vibrava,desert,,,any,rain,grounded,,,rare,1,35,44,true
330,Flygon,desert,,,any,rain,grounded,,,rare,0.02,45,52,true
331,Cacnea,sandy,,,any,any,grounded,,,common,9.0,7,33,true
332,Cacturne,sandy,,,any,any,grounded,,,common,1.0,32,47,true
333,Swablu,"mountain, sky",freezing,,day,clear,grounded,,,uncommon,5,16,34,true
334,Altaria,"mountain, sky",freezing,,day,clear,grounded,,,uncommon,0.02,35,49,true
335,Zangoose,savanna,,,any,any,grounded,,,uncommon,2,19,46,true
336,Seviper,savanna,,,any,any,grounded,,,uncommon,2,19,46,true
337,Lunatone,dripstone,,,night,any,grounded,,,uncommon,2.0,20,46,true
337,Lunatone,dripstone,,,any,any,grounded,,,common,2.0,20,46,false
337,Lunatone,mountain,,,night,any,grounded,,,rare,2.0,20,46,true
338,Solrock,dripstone,,,day,any,grounded,,,uncommon,2.0,20,46,true
338,Solrock,dripstone,,,any,any,grounded,,,common,2.0,20,46,false
338,Solrock,mountain,,,day,any,grounded,,,rare,2.0,20,46,true
339,Barboach,swamp,,,any,any,submerged,underwater,,common,9.0,12,29,true
340,Whiscash,swamp,,,any,any,submerged,underwater,,common,1.0,30,47,true
341,Corphish,river,,,any,any,submerged,underwater,,common,10.0,12,29,true
342,Crawdaunt,river,,,any,any,submerged,underwater,,common,1.0,35,60,true
345,Lileep,lush,,,any,any,seafloor,underwater,,ultra-rare,1.0,16,35,true
345,Lileep,lush,,,any,any,seafloor,underwater,,ultra-rare,1.0,16,35,false
346,Cradily,lush,,,any,any,seafloor,underwater,,ultra-rare,1.0,40,49,true
346,Cradily,lush,,,any,any,seafloor,underwater,,ultra-rare,1.0,40,49,false
347,Anorith,lush,,,any,any,grounded,,,ultra-rare,1.0,16,35,true
347,Anorith,lush,,,any,any,submerged,underwater,,ultra-rare,1.0,16,35,true
347,Anorith,lush,,,any,any,grounded,,,ultra-rare,1.0,16,35,false
347,Anorith,lush,,,any,any,submerged,underwater,,ultra-rare,1.0,16,35,false
348,Armaldo,lush,,,any,any,grounded,,,ultra-rare,1.0,40,49,true
348,Armaldo,lush,,,any,any,submerged,underwater,,ultra-rare,1.0,40,49,true
348,Armaldo,lush,,,any,any,grounded,,,ultra-rare,1.0,40,49,false
348,Armaldo,lush,,,any,any,submerged,underwater,,ultra-rare,1.0,40,49,false
349,Feebas,river,,,day,rain,submerged,underwater,,uncommon,1.0,10,20,true
350,Milotic,river,,,day,rain,submerged,underwater,,rare,1.0,40,60,true
352,Keckleon,jungle,,,any,any,grounded,,,uncommon,3.0,16,44,true
353,Shuppet,spooky,,,night,any,grounded,,,common,5.0,13,36,true
354,Banette,spooky,,,night,any,grounded,,,common,0.01,37,45,true
355,Duskull,abyss,,,any,any,grounded,underground,,uncommon,5.4,12,36,false
355,Duskull,soul_sand_valley,,,any,any,grounded,,,common,2.0,12,36,ANY
355,Duskull,spooky,,,night,any,grounded,,,common,2.0,12,36,true
356,Dusclops,abyss,,,any,any,grounded,underground,,uncommon,0.6,37,45,false
356,Dusclops,soul_sand_valley,,,any,any,grounded,,,rare,2.0,37,45,ANY
356,Dusclops,spooky,,,night,any,grounded,,,rare,2.0,37,45,true
357,Tropius,jungle,,,any,any,grounded,natural,,common,2,5,45,true
358,Chimecho,"magical, mountain, spooky",,,night,any,grounded,,,uncommon,0.6,29,45,true
359,Absol,mountain,,,any,any,grounded,,,rare,10.0,25,46,true
360,Wynaut,overworld,abyss,,any,any,grounded,,,rare,9.0,3,26,false
361,Snorunt,glacial,,,any,any,grounded,,,rare,8.0,15,41,true
362,Glalie,glacial,,,any,any,grounded,,,rare,1.0,42,48,true
363,Spheal,frozen,,,any,any,grounded,,,common,3.0,12,31,true
363,Spheal,frozen,,,any,any,submerged,underwater,,common,3.0,12,31,true
364,Sealeo,frozen,,,any,any,grounded,,,common,1.0,32,43,true
364,Sealeo,frozen,,,any,any,submerged,underwater,,common,1.0,32,43,true
365,Walrein,frozen,,,any,any,grounded,,,rare,3.0,44,53,true
365,Walrein,frozen,,,any,any,submerged,underwater,,rare,3.0,44,53,true
366,Clamperl,deep,,,any,any,seafloor,underwater,,uncommon,9.0,15,34,true
367,Huntail,deep,,,any,any,submerged,underwater,,uncommon,2.0,35,48,true
368,Gorebyss,deep,,,any,any,submerged,underwater,,uncommon,2.0,35,48,true
369,Relicanth,deep,,,any,any,submerged,underwater,,rare,10.0,20,48,ANY
371,Bagon,dripstone,,,any,any,grounded,,,ultra-rare,9.0,15,30,true
371,Bagon,dripstone,,,any,any,grounded,,,rare,3.0,15,30,false
372,Shelgon,dripstone,,,any,any,grounded,,,ultra-rare,5.0,30,42,true
372,Shelgon,dripstone,,,any,any,grounded,,,rare,2.0,30,42,false
373,Salamence,"dripstone, mountain, sky",freezing,,any,any,grounded,,,ultra-rare,0.05,50,60,true
373,Salamence,dripstone,,,any,any,grounded,,,rare,0.01,50,60,false
374,Beldum,mountain,,,any,any,grounded,,,rare,9.0,5,30,ANY
375,Metang,mountain,,,any,any,grounded,,,ultra-rare,1.0,20,44,ANY
376,Metagross,mountain,,,any,any,grounded,,,ultra-rare,0.01,45,60,ANY
387,Turtwig,forest,"snowy, taiga, freezing","fire, soul_fire, lava, jack_o_lantern, campfire, soul_campfire, torch, wall_torch, soul_torch, wall_soul_torch, redstone_torch, redstone_wall_torch, wheat, beetroots, carrots, potatoes, melon_stem, attached_melon_stem, pumpkin_stem, attached_pumpkin_stem",day,any,grounded,,"maxZ = 0, neededNearbyBlocks = oak_sapling, spruce_sapling, birch_sapling, jungle_sapling, acacia_sapling, dark_oak_sapling, neededBaseBlocks = farmland",common,500.0,5,15,true
388,Grotle,forest,"snowy, taiga, freezing","fire, soul_fire, lava, jack_o_lantern, campfire, soul_campfire, torch, wall_torch, soul_torch, wall_soul_torch, redstone_torch, redstone_wall_torch",day,any,grounded,,"maxZ = 0, neededNearbyBlocks = oak_sapling, spruce_sapling, birch_sapling, jungle_sapling, acacia_sapling, dark_oak_sapling, neededBaseBlocks = farmland",uncommon,250.0,20,25,true
389,Torterra,forest,"snowy, taiga, freezing","fire, soul_fire, lava, jack_o_lantern, campfire, soul_campfire, torch, wall_torch, soul_torch, wall_soul_torch, redstone_torch, redstone_wall_torch",day,any,grounded,,"maxZ = 0, neededNearbyBlocks = oak_sapling, spruce_sapling, birch_sapling, jungle_sapling, acacia_sapling, dark_oak_sapling, neededBaseBlocks = farmland",uncommon,250.0,35,45,true
390,Chimchar,mountain,,water,day,any,grounded,,"minX = 0, minY = 80, neededNearbyBlocks = moss_block, hay_block, neededBaseBlocks = stone",common,500.0,5,15,true
391,Monferno,mountain,,water,day,any,grounded,,"minX = 0, minY = 80, neededNearbyBlocks = moss_block, hay_block, neededBaseBlocks = stone",uncommon,250.0,20,25,true
392,Infernape,mountain,,water,day,any,grounded,,"minX = 0, minY = 80, neededNearbyBlocks = moss_block, hay_block, neededBaseBlocks = stone",uncommon,250.0,35,45,true
393,Piplup,coast,,"grass, grass_block",day,any,grounded,,"minZ = 0, neededNearbyBlocks = prismarine, neededBaseBlocks = gravel",common,500.0,5,15,true
394,Prinplup,coast,,"grass, grass_block",day,any,grounded,,"minZ = 0, neededNearbyBlocks = prismarine, neededBaseBlocks = gravel",uncommon,250.0,20,25,true
395,Empoleon,coast,,"grass, grass_block",day,any,grounded,,"minZ = 0, neededNearbyBlocks = prismarine, neededBaseBlocks = gravel",uncommon,250.0,35,45,true
396,Starly,"sky, taiga, forest",,,day,clear,grounded,natural,,common,6.0,5,24,true
397,Staravia,"sky, taiga, forest",,,day,clear,grounded,natural,,uncommon,6.0,14,34,true
398,Staraptor,"sky, taiga, forest",,,day,clear,grounded,natural,,rare,6.0,34,48,true
403,Shinx,"desert, savanna",,,any,any,grounded,natural,,uncommon,9.0,8,26,true
404,Luxio,"desert, savanna",,,any,any,grounded,natural,,uncommon,5.0,15,36,true
405,Luxray,"desert, savanna",,,any,any,grounded,natural,,rare,8.0,30,52,true
406,Budew,floral,,,any,any,grounded,natural,,common,5.0,1,28,true
407,Roserade,floral,,,any,any,grounded,natural,,rare,0.1,41,51,true
408,Cranidos,lush,,,any,any,grounded,natural,,ultra-rare,9.0,20,35,false
409,Rampardos,lush,,,any,any,grounded,natural,,ultra-rare,1.0,40,60,false
410,Shieldon,lush,,,any,any,grounded,natural,,ultra-rare,9.0,20,35,false
411,Bastiodon,lush,,,any,any,grounded,natural,,ultra-rare,1.0,40,60,false
415,Combee,temperate,spooky,,day,clear,grounded,natural,,rare,9.9,2,24,true
416,Vespiquen,temperate,spooky,,day,clear,grounded,natural,,ultra-rare,5.0,21,47,true
418,Buizel,river,,,any,any,submerged,underwater,,common,5.0,12,29,true
419,Floatzel,river,,,any,any,submerged,underwater,,uncommon,5.0,25,45,true
424,Ambipom,jungle,,,any,any,grounded,natural,,rare,0.6,32,48,true
425,Drifloon,"overworld, sky",,,any,clear,grounded,natural,,rare,1.8,8,35,true
426,Drifblim,"overworld, sky",,,any,clear,grounded,natural,,ultra-rare,0.2,28,50,true
431,Glameow,forest,,,any,clear,grounded,urban,,uncommon,9.0,8,37,true
432,Purugly,forest,,,any,clear,grounded,urban,,uncommon,1.0,38,45,true
433,Chingling,"magical, mountain, spooky",,,night,any,grounded,natural,,uncommon,5.4,10,28,true
434,Stunky,"forest, taiga","freezing, freezing",,any,any,grounded,natural,,uncommon,9.0,12,33,true
435,Skuntank,"forest, taiga","freezing, freezing",,any,any,grounded,natural,,rare,9.0,34,48,true
436,Bronzor,"jungle, peak","abyss, abyss",,any,any,grounded,natural,,uncommon,5.0,12,32,false
437,Bronzong,"jungle, peak","abyss, abyss",,any,any,grounded,natural,,rare,2.0,33,50,false
441,Chatot,"jungle, sky",,,day,any,grounded,natural,,rare,5.0,13,41,true
449,Hippopotas,desert,,,any,any,grounded,natural,,common,5.0,12,33,true
450,Hippowdon,desert,,,any,any,grounded,natural,,uncommon,2.0,34,52,true
451,Skorupi,desert,,,night,any,grounded,natural,,common,6.0,12,39,true
452,Drapion,desert,,,night,any,grounded,natural,,uncommon,1.0,40,50,true
453,Croagunk,jungle,,,any,rain,grounded,natural,,uncommon,9.0,12,36,true
454,Toxicroak,jungle,,,any,rain,grounded,natural,,uncommon,0.5,37,49,true
455,Carnivine,swamp,,,any,any,grounded,natural,,rare,9.0,17,45,true
456,Finneon,deep,,,any,any,submerged,underwater,,common,9.0,6,33,true
457,Lumineon,deep,,,any,any,submerged,underwater,,common,0.5,31,46,true
458,Mantyke,lukewarm,,,any,any,submerged,underwater,,uncommon,9.0,12,34,true
459,Snover,snowy,tundra,,any,any,grounded,,,uncommon,9.0,10,39,true
